athlete,school,conference,event,season,class_year,birth_date,age_at_meet,performance,unit,meet,meet_date,round,place,wind,indoor_outdoor,source_url,data_status
"Hall, Anna",Florida,SEC,400H,2022,SO-2,,,55.36,seconds,SEC Outdoor Track & Field Championships,2022-05-12,,,,Outdoor,https://www.tfrrs.org/results/74844/4555617/SEC_Outdoor_Track__Field_Championships/400-Hurdles,TFRRS all_performances
"Watson, Vanessa",Florida,SEC,400H,2022,SO-2,,,56.84,seconds,SEC Outdoor Track & Field Championships,2022-05-12,,,,Outdoor,https://www.tfrrs.org/results/74844/4555617/SEC_Outdoor_Track__Field_Championships/400-Hurdles,TFRRS all_performances
"Watson, Vanessa",Florida,SEC,400H,2022,SO-2,,,57.31,seconds,SEC Outdoor Track & Field Championships,2022-05-12,,,,Outdoor,https://www.tfrrs.org/results/74844/4555617/SEC_Outdoor_Track__Field_Championships/400-Hurdles,TFRRS all_performances
"Anderson, Doneisha",Florida,SEC,400m,2022,JR-3,,,53.66,seconds,SEC Outdoor Track & Field Championships,2022-05-12,,,,Outdoor,https://www.tfrrs.org/results/74844/4557146/SEC_Outdoor_Track__Field_Championships/400-Meters,TFRRS all_performances
"Diggs, Talitha",Florida,SEC,400m,2022,SO-2,,,51.24,seconds,SEC Outdoor Track & Field Championships,2022-05-12,,,,Outdoor,https://www.tfrrs.org/results/74844/4557146/SEC_Outdoor_Track__Field_Championships/400-Meters,TFRRS all_performances
"Diggs, Talitha",Florida,SEC,400m,2022,SO-2,,,51.75,seconds,SEC Outdoor Track & Field Championships,2022-05-12,,,,Outdoor,https://www.tfrrs.org/results/74844/4557146/SEC_Outdoor_Track__Field_Championships/400-Meters,TFRRS all_performances
"Manson, Taylor",Florida,SEC,400m,2022,SR-4,,,52.86,seconds,SEC Outdoor Track & Field Championships,2022-05-12,,,,Outdoor,https://www.tfrrs.org/results/74844/4557146/SEC_Outdoor_Track__Field_Championships/400-Meters,TFRRS all_performances
"Tate, Caitlan",Florida,SEC,400m,2022,SR-4,,,54.07,seconds,SEC Outdoor Track & Field Championships,2022-05-12,,,,Outdoor,https://www.tfrrs.org/results/74844/4557146/SEC_Outdoor_Track__Field_Championships/400-Meters,TFRRS all_performances
"Bryant, Claire",Florida,SEC,Long Jump,2022,SO-2,,,6.56,m,SEC Outdoor Track & Field Championships,2022-05-12,,,0.4,Outdoor,https://www.tfrrs.org/results/74844/4557129/SEC_Outdoor_Track__Field_Championships/Long-Jump,TFRRS all_performances
"Hall, Anna",Florida,SEC,Long Jump,2022,SO-2,,,6.42,m,SEC Outdoor Track & Field Championships,2022-05-12,,,0.6,Outdoor,https://www.tfrrs.org/results/74844/4557129/SEC_Outdoor_Track__Field_Championships/Long-Jump,TFRRS all_performances
"Lester, Sterling",Florida,SEC,Long Jump,2022,JR-3,,,5.86,m,SEC Outdoor Track & Field Championships,2022-05-12,,,0.6,Outdoor,https://www.tfrrs.org/results/74844/4559075/SEC_Outdoor_Track__Field_Championships/Long-Jump,TFRRS all_performances
"Moore, Jasmine",Florida,SEC,Long Jump,2022,SO-2,,,6.73,m,SEC Outdoor Track & Field Championships,2022-05-12,,,0.4,Outdoor,https://www.tfrrs.org/results/74844/4557129/SEC_Outdoor_Track__Field_Championships/Long-Jump,TFRRS all_performances
